id,label,synonyms
adherence_persistence,Adherence & persistence,"adherence;observance;compliance;persistence;retention"
reduced_admin_burden,Reduced administration burden,"less administration;fewer injections;lower treatment burden;reduced burden of care;fewer clinic visits"
ease_of_use,Ease of use,"user-friendly;simple administration;ready-to-use;convenient"
less_painful_injection,Less painful injection,"reduced pain at injection;less painful;improved tolerability at injection site"
injection_modalities,Injection modalities (IM/SC/IV options),"injection route options;modality choice"
better_pk_pd,Improved PK/PD profile,"better PK;better PD;optimized exposure;exposure control"
reduced_cmax,Reduced Cmax,"lower peak;blunted Cmax;reduced peak concentration"
less_systemic_exposure,Reduced systemic exposure,"lower systemic exposure;reduced overall exposure"
continuous_exposure,Continuous exposure,"steady exposure;maintained levels;continuous effect"
broadened_therapeutic_window,Broader therapeutic window,"therapeutic window;wider window;PK/PD window"
efficacy_durability,Durable efficacy,"long-lasting efficacy;long duration of action"
better_pharmacodynamic_effect,Better pharmacodynamic effect,"improved pharmacodynamics;enhanced PD"
better_target_engagement,Better target engagement,"sustained target engagement;enhanced receptor occupancy"
local_effect,Local effect at site of action,"local delivery;local action"
safety_tolerability,Safety & tolerability,"fewer side effects;reduced adverse events;improved tolerability"
patient_preferences,Patient preferences,"patient-preferred;patient-centric"
physician_preferences,Physician preferences,"HCP preferences;prescriber preference"
healthcare_utilization,Reduced healthcare utilization,"fewer visits;less monitoring;reduced resource use"
cost_effectiveness,Cost-effectiveness,"budget impact;economic benefit"
value_vs_oral,LAI vs Oral,"Benefits compared to oral/standard systemic"
value_vs_lai,LAI vs LAI,"Differentiation between LAIs"
